timestamp_us,lin_m,lin_b
1777478474408461,487795.008646386,-14449.817682758661
1777478474418458,460342.536507546,-14924.359228746302
1777478474428455,490688.4523894492,-15265.124915463653
1777478474438460,481119.17809796106,-15584.799384970018
1777478474448460,503613.3013107939,-15891.018977116917
1777478474458462,489093.7332454444,-16255.020427200987
1777478474468462,510379.5471236065,-16611.4053626032
1777478474478460,561171.4512190856,-16939.335184159998
1777478474488458,540297.9683597574,-17285.19064397015
1777478474498454,573200.0321630813,-17590.215584793226
1777478474508459,554442.4286533131,-17883.786254120492
1777478474518460,579287.2206737136,-18202.11830143193
1777478474528455,661277.5179987777,-18364.184678981135
1777478474538453,663273.8752158013,-18519.899527683094
1777478474548453,603724.3844412278,-18714.164505737346
1777478474558462,592016.8131997673,-19038.954962318658
1777478474568461,485596.7621049532,-19577.375242990878
1777478474578462,595859.9287489615,-19860.85725614101
1777478474588455,633541.6413523745,-20180.715010616725
1777478474598458,516363.77163939155,-20445.685191697
1777478474608461,573368.8674977738,-20599.532701961263
1777478474618454,455832.1354534371,-20331.63010230219
1777478474628462,624169.0605252562,-20085.974223078756
1777478474638460,517618.85878326534,-19895.287139577846
1777478474648459,631828.6214774712,-19667.477431127925
1777478474658459,478303.8333028093,-19479.561135970787
1777478474668458,511486.41948269674,-19314.123090536086
1777478474678462,617478.3113072913,-19152.338535351566
1777478474688442,679195.2269160732,-19258.43157459824
1777478474698458,693757.415021646,-19250.652366683793
1777478474708457,783075.6970196213,-19182.79078570913
1777478474718459,792088.3225650451,-19100.278276893576
1777478474728460,594850.0489283518,-18894.087799655812
1777478474738445,592092.6708405031,-18784.28566170878
1777478474748439,739760.3246142876,-18779.72446448401
1777478474758429,759402.3772077654,-18725.84733184948
1777478474768453,628869.0586852372,-18550.739525835193
1777478474778462,622469.6375482316,-18469.480422386787
1777478474788437,599594.7504891385,-18464.434114375876
1777478474798461,704025.5284326159,-18268.17596211189
1777478474808459,560929.6866632355,-18137.144785818895
1777478474818460,470319.0296184055,-17847.188739149122
1777478474828461,571686.9373433487,-17560.757379960633
1777478474838462,631099.386215427,-17297.006304857456
1777478474848457,548598.059100263,-17222.736576420077
1777478474858451,577211.9742156093,-16991.74143951159
1777478474868459,505094.5714769578,-16771.834868449692
1777478474878457,475300.5349827166,-16499.65379490227
1777478474888461,454396.489386405,-16152.589478226646
1777478474898461,465746.2706392174,-15829.188879691665
1777478474908461,424625.4718495489,-15448.107566356442
1777478474918460,444869.3468334423,-14737.668763042511
1777478474928460,429621.4212434004,-14062.929187804833
1777478474938457,414273.9100347724,-13461.741102386071
1777478474948459,394254.9506795049,-12967.110699009952
1777478474958452,408039.4411760799,-12530.359780680406
1777478474968461,377140.7664962873,-12074.25580495926
1777478474978462,396745.4459738271,-11722.497422919
1777478474988461,394664.2641837296,-11382.149480127882
1777478474998462,375544.8361935394,-11125.32270562981
1777478475008459,351606.5376426253,-10858.306290853709
1777478475018447,363130.4539275683,-10628.616574998547
1777478475028458,311826.59403279785,-10336.15784438725
1777478475038445,366293.21928437176,-10263.60117969994
1777478475048445,400851.61619981437,-10256.31115145235
1777478475058460,370027.6066744248,-10035.629346648759
1777478475068460,341417.4245651138,-9887.341387044244
1777478475078457,362314.1343498117,-9820.765203521432
1777478475088441,243501.0054239552,-9759.036262387144
1777478475098454,237733.36929092533,-9831.188658212395
1777478475108455,241849.79148398415,-9980.888714748655
1777478475118460,304103.53257362737,-10160.732661856982
1777478475128443,348050.0595996593,-10171.12053776131
1777478475138458,360554.51093411894,-10216.453198997566
1777478475148454,295930.52823079686,-9971.047441598483
1777478475158457,274375.7987051209,-9819.986014109376
1777478475168421,258132.82189670953,-9790.724052227453
1777478475178455,291955.70576710254,-9804.690514387597
1777478475188458,280503.06839422724,-9819.612697027678
1777478475198459,291928.0403620258,-10019.472361372962
1777478475208462,288368.63795774995,-10252.2977490937
1777478475218461,354489.37197288446,-10519.686452145144
1777478475228459,301767.51997489994,-10737.279504958544
1777478475238460,334233.9825291934,-11028.871425400608
1777478475248461,380530.06798891886,-11340.875808466946
1777478475258462,369423.38744995714,-11542.385610069068
1777478475268447,428168.7459872593,-11747.532654428338
1777478475278443,428519.756482479,-11845.105515248451
1777478475288444,464354.9822267128,-11946.956487622949
1777478475298462,375561.6080180753,-12000.908439434073
1777478475308461,405310.3285427735,-12144.202384249094
1777478475318452,491795.01650161704,-12294.578769372214
1777478475328451,523926.7481254058,-12347.917376272091
1777478475338457,464485.7534265855,-12444.99358353789
1777478475348450,457248.9571056051,-12656.993869386464
1777478475358457,408065.7858997922,-12876.988187522222
1777478475368462,436511.0000847587,-13206.823050338273
1777478475378462,444023.7092284865,-13534.651729845795
1777478475388456,408564.22785152594,-13887.779978160272
1777478475398459,457434.8754795999,-14196.141490347205
1777478475408457,412665.44847212185,-14498.12622034616
1777478475418461,433009.4083422045,-14884.75453529651
1777478475428462,424897.53667537856,-15377.84311857073
1777478475438461,487245.19463347225,-15802.434866343618
1777478475448462,472863.3680609765,-16275.834194145773
1777478475458458,530564.8396334858,-16725.34042994424
1777478475468461,523947.34392828343,-17112.44487349347
1777478475478461,562694.966790789,-17350.971289611713
1777478475488453,535335.8880085292,-17638.504051489632
1777478475498453,498570.7682088893,-17913.192910528094
1777478475508461,531574.8942244884,-18169.425992167602
1777478475518458,470911.57932338415,-18565.585584194978
1777478475528461,502005.084443281,-18874.825008130683
1777478475538456,513080.23974583956,-19214.967318757524
1777478475548455,501603.0863681216,-19481.06083523558
1777478475558460,612481.0103568758,-19638.840705008202
1777478475568441,464088.9993968561,-19825.67474656136
1777478475578461,452161.35784590465,-19575.852240524942
1777478475588461,496123.9673081751,-19474.26079117063
1777478475598459,499450.1662212109,-19352.050929986734
1777478475608460,502018.9333097608,-19248.47338592933
1777478475618446,575909.7980623161,-19182.38371121445
1777478475628459,568440.3648824882,-19014.68964292872
1777478475638460,635785.1092102698,-18896.511690516083
1777478475648451,598811.9558608673,-18777.012853051478
1777478475658457,526783.8087915918,-18627.15781964876
1777478475668444,547636.2393296331,-18453.09625278798
1777478475678452,523918.677486242,-18324.088281911692
1777478475688448,559272.2742490752,-18190.3007189955
1777478475698462,565807.3323717893,-18089.241820057916
1777478475708459,508119.07762450405,-17895.237544566273
1777478475718462,464230.99646208703,-17625.920276646742
1777478475728458,482352.33935529116,-17359.299171475726
1777478475738462,544088.601597655,-17012.02008975137
1777478475748460,442753.2196293033,-16792.019165004793
1777478475758458,483511.868050171,-16512.22008306141
1777478475768461,519389.57204397034,-16293.600355602666
1777478475778462,504330.1614230934,-16037.39765801622
1777478475788451,469570.0098703481,-15758.146764649584
1777478475798457,491024.21951327595,-15489.081747539962
1777478475808461,489171.8407826339,-15146.342075708952
1777478475818461,476318.50206031423,-14761.229491737344
1777478475828461,390559.97974242375,-14291.122487026709
1777478475838456,369551.6928514812,-13862.097325576466
1777478475848459,399278.44885401195,-13352.174609866797
1777478475858460,400896.5019979024,-12844.596968247339
1777478475868461,404560.9765484563,-12425.237217194914
1777478475878454,354275.08336917456,-12084.825698341421
1777478475888454,330797.4915969116,-11785.607299093126
1777478475898459,350897.67441675375,-11553.950728139256
1777478475908461,368673.3874544539,-11298.302522244594
1777478475918462,331670.1330761402,-11009.880371596677
1777478475928439,394673.383175738,-10842.53186585043
1777478475938456,320062.45645733905,-10571.551602289182
1777478475948461,323052.74830496527,-10369.776984201786
1777478475958455,334439.6480329207,-10287.273909793974
1777478475968437,409700.0617145985,-10253.585623363222
1777478475978456,305860.8238996854,-10014.995262814693
1777478475988427,288778.6274447527,-9899.204178832713
1777478475998462,334315.06886981725,-9854.96276188799
1777478476008455,315857.19976112613,-9761.552911719999
1777478476018461,316112.00251901423,-9713.150232194652
1777478476028461,271043.9189685902,-9639.892471514931
1777478476038438,276231.8421248704,-9503.910004363408
1777478476048442,289819.5121765422,-9571.033887820708
1777478476058462,266056.12411394063,-9488.272318286889
1777478476068460,279129.8014844054,-9665.063670374055
1777478476078462,266000.5888562879,-9861.124151110884
1777478476088453,301649.0148008668,-10070.25369429172
1777478476098462,289013.7741218408,-10332.631983507154
1777478476108460,318798.22890617745,-10654.866760354986
1777478476118460,357357.4685692574,-11037.88529004836
1777478476128461,304013.8683747585,-11311.990435117055
1777478476138458,359529.8388526092,-11598.122650082321
1777478476148450,362197.07739742554,-11819.097213945937
1777478476158451,384527.17893152684,-12080.101425313278
1777478476168461,377997.8465728912,-12383.111970226664
1777478476178459,384434.73729502346,-12656.041500153591
1777478476188451,429650.1660963013,-12815.301131211472
1777478476198453,496952.35142529657,-12926.71643613641
1777478476208454,441687.475631239,-13050.233607932423
1777478476218457,442982.28657312243,-13266.630813471125
1777478476228460,438765.1101743043,-13495.777393334436
1777478476238460,452337.4188463167,-13717.56832289083
1777478476248454,452601.2130437712,-13974.985849392591
1777478476258452,452025.6599247741,-14270.138518461781
1777478476268460,479083.04091041,-14553.268325097195
1777478476278461,457793.1767315955,-14998.811702653977
1777478476288462,477210.1433016513,-15403.841413730528
1777478476298462,454978.34203831747,-15757.979038272826
1777478476308459,454270.47512511176,-16083.368874512396
1777478476318461,451028.11838014587,-16401.222585600754
1777478476328462,480200.37242097966,-16771.069347367953
1777478476338455,542124.9958967344,-17112.78775502162
1777478476348459,473330.71812760236,-17512.885904888848
1777478476358459,543491.9618257334,-17833.603178503367
1777478476368461,538787.7981754671,-18193.75475944278
1777478476378461,518457.27343140566,-18550.93052048821
1777478476388462,529120.28733497,-18949.868543967837
1777478476398461,621450.2305906855,-19262.445534374256
1777478476408459,580454.8678827091,-19614.6562548908
1777478476418456,625406.6121981072,-19886.54453863183
1777478476428461,554392.9280427579,-20185.230562551813
1777478476438441,701609.6456005801,-20323.464467737314
1777478476448461,436603.2534723771,-20314.06848165937
1777478476458455,578776.5643356207,-20048.393672850576
1777478476468454,502429.8240034375,-19866.507747752446
1777478476478460,536853.7098996924,-19639.538552869737
1777478476488455,581009.4488366443,-19526.01414845423
1777478476498457,652292.1528691764,-19486.22136280023
1777478476508407,597878.8889952287,-19592.704805412515
1777478476518370,740054.1163596822,-19554.33428841268
1777478476528411,772988.9946697312,-19555.882783326786
1777478476538453,677835.3677665872,-19671.489745130282
1777478476548446,300985.7698998332,-19539.70026789028
1777478476558415,361725.8662766157,-19574.540995774812
1777478476568446,585351.962658722,-19300.934432840724
1777478476578458,688587.3969734093,-19137.08262185498
1777478476588448,665103.7742552161,-19071.82059106791
1777478476598434,691797.0039715045,-18887.313526460795
1777478476608462,683483.9569707763,-18708.175751471917
1777478476618461,602004.3245221126,-18574.248938115456
1777478476628461,514297.0095476067,-18373.236956504228
1777478476638461,541260.4969225854,-18052.79677511226
1777478476648455,530437.7492460959,-17690.211821027373
1777478476658452,542220.1083276529,-17242.811630081895
1777478476668458,469395.8514492437,-16900.833134592518
1777478476678461,506730.25014668994,-16609.988850791506
1777478476688457,480206.4355684443,-16349.785140462564
1777478476698456,477379.7468547369,-15990.76334845268
1777478476708462,416567.35791411967,-15591.626269221479
1777478476718462,460461.40272139723,-15102.010354703643
1777478476728461,431735.86596330354,-14636.485712305872
1777478476738460,473587.1336629537,-14213.565493064169
1777478476748462,378586.0957441935,-13778.645676753895
1777478476758462,439026.79908200016,-13398.719404728057
1777478476768456,403362.25400782475,-12990.52314294338
1777478476778453,442422.31042562384,-12642.988099906916
1777478476788459,380859.7041590832,-12301.409600600527
1777478476798449,406998.9195489507,-12011.134224720841
1777478476808461,365020.8082910514,-11744.018078323765
1777478476818461,367918.41653733293,-11465.549936772608
1777478476828457,346629.5380558971,-11136.520984980807
1777478476838449,339233.39132337744,-10925.426954686262
1777478476848455,356494.6245239247,-10670.935183238871
1777478476858458,300613.4930787603,-10432.532375341654
1777478476868456,351239.02356075705,-10302.731531301317
1777478476878461,340318.16263927927,-10137.276705368198
1777478476888454,298603.6627398891,-9992.462204452408
1777478476898432,394250.2368866482,-10027.329698623904
1777478476908447,386652.84146372305,-10136.021692615326
1777478476918453,219178.40336681527,-9890.080210099224
1777478476928456,240019.2525441385,-9996.394559393766
1777478476938446,280741.4882359571,-10135.728274137504
1777478476948444,231408.89702117056,-10154.927469428234
